Date,Name,Status
10/18/2025,placeholder4,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder2,Present
10/27/2025,placeholder3,Present
10/27/2025,placeholder4,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1234,Present
10/31/2025,guest2,Present
10/31/2025,guest3,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder5,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder5,Present
10/27/2025,placeholder6,Present
10/27/2025,placeholder7,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1235,Present
10/31/2025,guest4,Present
10/31/2025,guest5,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder6,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder8,Present
10/27/2025,placeholder9,Present
10/27/2025,placeholder10,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1236,Present
10/31/2025,guest6,Present
10/31/2025,guest7,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder7,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder11,Present
10/27/2025,placeholder12,Present
10/27/2025,placeholder13,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1237,Present
10/31/2025,guest8,Present
10/31/2025,guest9,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder8,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder14,Present
10/27/2025,placeholder15,Present
10/27/2025,placeholder16,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1238,Present
10/31/2025,guest10,Present
10/31/2025,guest11,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder9,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder17,Present
10/27/2025,placeholder18,Present
10/27/2025,placeholder19,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1239,Present
10/31/2025,guest12,Present
10/31/2025,guest13,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder10,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder20,Present
10/27/2025,placeholder21,Present
10/27/2025,placeholder22,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1240,Present
10/31/2025,guest14,Present
10/31/2025,guest15,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder11,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder23,Present
10/27/2025,placeholder24,Present
10/27/2025,placeholder25,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1241,Present
10/31/2025,guest16,Present
10/31/2025,guest17,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder12,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder26,Present
10/27/2025,placeholder27,Present
10/27/2025,placeholder28,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1242,Present
10/31/2025,guest18,Present
10/31/2025,guest19,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder13,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder29,Present
10/27/2025,placeholder30,Present
10/27/2025,placeholder31,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1243,Present
10/31/2025,guest20,Present
10/31/2025,guest21,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder14,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder32,Present
10/27/2025,placeholder33,Present
10/27/2025,placeholder34,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1244,Present
10/31/2025,guest22,Present
10/31/2025,guest23,Present
11/1/2025,--- NEW DAY ---,
